Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,21/06/2024 00:00,Mercedes-Benz Stadium,Argentina,CONCACAF 5,Group A,
2,1,22/06/2024 00:00,AT&T Stadium,Peru,Chile,Group A,
4,1,22/06/2024 22:00,Levi's Stadium,Ecuador,Venezuela,Group B,
3,1,23/06/2024 01:00,NRG Stadium,Mexico,Jamaica,Group B,
5,1,23/06/2024 22:00,AT&T Stadium,United States,Bolivia,Group C,
6,1,24/06/2024 01:00,Hard Rock Stadium,Uruguay,Panama,Group C,
8,1,24/06/2024 22:00,NRG Stadium,Colombia,Paraguay,Group D,
7,1,25/06/2024 01:00,SoFi Stadium,Brazil,CONCACAF 6,Group D,
10,2,25/06/2024 22:00,Children's Mercy Park,Peru,CONCACAF 5,Group A,
9,2,26/06/2024 01:00,MetLife Stadium,Chile,Argentina,Group A,
12,2,26/06/2024 22:00,Allegiant Stadium,Ecuador,Jamaica,Group B,
11,2,27/06/2024 01:00,SoFi Stadium,Venezuela,Mexico,Group B,
13,2,27/06/2024 22:00,Mercedes-Benz Stadium,Panama,United States,Group C,
14,2,28/06/2024 01:00,MetLife Stadium,Uruguay,Bolivia,Group C,
16,2,28/06/2024 22:00,State Farm Stadium,Colombia,CONCACAF 6,Group D,
15,2,29/06/2024 01:00,Allegiant Stadium,Paraguay,Brazil,Group D,
17,3,30/06/2024 00:00,Hard Rock Stadium,Argentina,Peru,Group A,
18,3,30/06/2024 00:00,Exploria Stadium,CONCACAF 5,Chile,Group A,
19,3,01/07/2024 00:00,State Farm Stadium,Mexico,Ecuador,Group B,
20,3,01/07/2024 00:00,Q2 Stadium,Jamaica,Venezuela,Group B,
21,3,02/07/2024 01:00,Arrowhead Stadium,United States,Uruguay,Group C,
22,3,02/07/2024 01:00,Exploria Stadium,Bolivia,Panama,Group C,
23,3,03/07/2024 01:00,Levi's Stadium,Brazil,Colombia,Group D,
24,3,03/07/2024 01:00,Q2 Stadium,CONCACAF 6,Paraguay,Group D,
25,Quarter Finals,05/07/2024 01:00,NRG Stadium,1A,2B,,
26,Quarter Finals,06/07/2024 01:00,AT&T Stadium,1B,2A,,
28,Quarter Finals,06/07/2024 22:00,State Farm Stadium,1D,2C,,
27,Quarter Finals,07/07/2024 01:00,Allegiant Stadium,1C,2D,,
29,Semi Finals,10/07/2024 00:00,MetLife Stadium,To be announced,To be announced,,
30,Semi Finals,11/07/2024 00:00,Bank of America Stadium,To be announced,To be announced,,
31,Finals,14/07/2024 00:00,Bank of America Stadium,To be announced,To be announced,,
32,Finals,15/07/2024 00:00,Hard Rock Stadium,To be announced,To be announced,,
